transaction_id,user_id,device_id,timestamp,amount,product_category,payment_method,city,state,ip_address,is_fraud,velocity_score,risk_level,device_type
f784ce75-fdf5-422d-8058-8b4a6d57a156,66048,37564c36-061c-4a05-a0e9-62407a5fffab,2025-11-01 22:53:28,386.01,Eletronicos,Boleto,das Neves,SP,175.172.5.88,0,0.5414,high,mobile
5be2d393-763e-4edc-a40f-b6726e454344,216198,f1ac46b0-3306-41a0-b39a-88ea806fa53e,2025-06-01 13:42:06,586.15,Roupas,Pix,Melo,RJ,191.40.70.186,0,0.7441,medium,mobile
385182fe-e470-41cf-997d-6766005b8392,65101,0ee30d0d-9e39-4a0d-a544-4188455dd22d,2025-10-02 14:13:04,1356.02,Roupas,Cartao,Ribeiro das Pedras,RJ,124.149.12.48,0,0.3775,low,tablet
219b53f0-035a-40b4-bd9a-6136c8dfe19e,317178,5b937c11-fdba-41e1-a5cc-879aa07f2a48,2025-06-22 03:31:55,1648.34,Eletronicos,Boleto,Cardoso,MG,114.161.82.121,0,0.871,low,tablet
c1bcb577-a5fd-4ffc-9358-46e2b2a57270,274796,c2af31a3-d48a-4917-ad5d-ee9830a001c9,2025-10-05 00:46:07,1609.84,Alimentos,Boleto,Freitas,SP,75.231.49.219,0,0.5004,medium,mobile
27ba9c78-e186-4686-b3f8-824920b959b9,250810,a466fe16-765f-4149-b4fe-9caa1cc46aba,2025-04-25 05:26:39,1844.86,Alimentos,Cartao,da Cruz de Rocha,RJ,22.175.86.151,0,0.5271,high,desktop
78da80d0-cab5-4c9b-adaa-6ab7039b507d,42814,92715cfe-1442-416e-b377-df8bb4d2fd47,2025-07-22 04:55:47,109.31,Alimentos,Cartao,Farias,RJ,138.65.177.34,0,0.0792,high,desktop
0d1cea35-8005-4750-9f54-f8f4f6f12b36,228719,7548449a-aa48-4daa-b880-1bdbde401725,2025-04-06 01:04:53,1069.9,Eletronicos,Boleto,Sales do Campo,RJ,221.23.173.170,0,0.7078,medium,desktop
6e63c39b-2a7c-4296-9608-bd69f6ef2ec6,350466,1b0e9d0a-5571-411f-81cf-ec3da3eb8674,2025-02-03 09:57:32,2008.41,Alimentos,Cartao,Vieira Grande,SP,198.159.152.68,0,0.142,medium,tablet
3414fb6d-212c-44ce-9101-ed815c690c16,403920,2abafc23-6504-4a4c-bf47-49be9ab433c5,2025-06-25 13:16:17,280.34,Eletronicos,Cartao,Rodrigues de Rodrigues,RJ,114.209.42.34,0,0.1955,low,desktop
